Course,Title,Author
ANTH,Understanding Culture,Salzman
ANTH,The Trobrianders of papua new Guinea,Weiner
ANTH 100,Ancestral Lines,Barker
ANTH 100,Cultural Anthropology,"Miller, Esterik, and Esterik"
ANTH 100,Cultural Anthropology: Appreciating Cultural Diversity,Kottak
ANTH 100,Cultural Anthropology,Kottak
ANTH 100,The Dobe Ju/'hoansi,Lee
ANTH 100,The Dobe Ju/‘hoansi,Lee
ANTH 100,The Anthropology of Language,Ottenheimer
ANTH 100A,The Dobe Ju/'hoansi,Lee
ANTH 100A,Where have all the homeless gone?,Marcus
ANTH 100A,Mirror for Humanity (MfH): A Concise Introduction to Cultural Anthropology + Conformity and Conflict + Code,Kottak (MfH) + Spradley and McCurdy
ANTH 103,World Prehistory and Archaeology Pathways Through Time,Chazan
ANTH 227,Understanding and Applying Medical Anthropology,"Brown, Barrett"
APSC 150,Fundamental competencies for Engineers,Dunwoody
APSC 201,Technical Communication: A Practical Approach,Pfeiffer
APSC 278,Materials Science and Engineering: An Introduction,Callister Jr.
APSC 278,Materials Science and Evingeering An introduction,Callister
ARTH 225,Art History: Portable Edition,"Stokstad, and Cothren"
ARTH 330,Art and the Christian Transformation of the Roman Empire,Knicely
Arts One,The Kappa Child,Goto
Arts One,Kappa,Akotayama
Arts One,Doctor Copernicus,Benville
Arts One,Utopia,More
Arts One,Two Faces of Oedipus,Seneca
ASIA 101,A History of Asia,Murphey
ASIA 200,East Asia: Identities and Change in the Modern World,Schoppa
ASIA 209,Conflict: Journeys Through War and Terror in Southeast Asia,Rand
ASIA 315,The Making of Modern Japan,Jansen
ASTU,Popular Culture (intrudctory perspectives),"rowman, littlefield"
ASTU 100,The Empowered Writer,Eric Henderson
ASTU 100,The Handmaid's Tale,Atwood
ASTU 100,The Selected Political Writings of John Locke,"Sigmund (ed,)"
ASTU 100/ENGL,The Importance of Being earnest and Other Plays,Wilde
ASTU 150,Broadview Pocket Guide to Writing,Babington
ASTU 150,On Liberty and the Subjection of Women,Mill
BIO 112/121/140,Biological science (Vol 1-3),Freedman
BIO 121,Biology,Campbell
BIO 121,Biological Science (Vol 1-3),Freedman
BIO 140,A short guide to writing about Biology,Pechenik
BIOL 112,Biological Science (Vol 1-3 + student access kit),Freedman
BIOL 112&121,Biological Science: How Plants and Animals Work,Freeman
BIOL 112&121,Biological Science Volume 1-3,Freeman
BIOL 112/121/140,Biological Science (3 pieces),Harrington
BIOL 120/112/140,A Short Guide to Writing About Biology,Pechenik
BIOL 121,Student Access Kit (CD),Freeman
BIOL 121,Student Access Kit (Code),Freeman
BIOL 140,A short guide to writing about Biology,Pechenik
BIOL 140,A Short Guide to Writing About Biology,Pechenik
BIOL 140,A Short Guide to Writing About Biology,Pechenik
BIOL 200,Essential Cell Biology (w/cd),Alberts et al
BIOL 209/210,Biology of Plants,Raven
CHEM,General Chemistry (Vol A & B),Petrucci
CHEM,General Chemistry (Vol A & B),Petrucci
CHEM 111,Principles of Chemistry,Tro
CHEM 111,Principles of Chemistry A Molecular Approach,Tro
CHEM 121,Integrated Resource Package,Gates
CHEM 121,Chemistry 121: Integrated Resource Package,Nelson
CHEM 121,Integrated Resource Package,Pearson
CHEM 121/113,A Guide To Framework Molecular Modeling (Model Set),Darling
CHEM 121/123,Lab Glasses,n/a
CHEM 121/123,General Chemistry (with solution manual),Petrucci
CHEM 121/123,Student Solutions Manual to Accompany General Chemistry,Petrucci
CHEM 123,General Chemistry (with solution manual),Petrucci
CHEM 123,General Chemistry UBC Custom edition + solutions manual,
CHEM 152,General Chemistry Principles and Modern Applications,Petrucci
CHEM 154,Chemistry for Engineering Students,"Brown, Holme"
CHEM 154,Chemistry for Engineering Students,"Brown, Holme"
CHEM 154,General Chemistry Principles and Modern Applications,Petrucci
CHEM 154,Chemistry for Engineers An Applied Approach,Shutz
CHEM 205,Chemistry 205 Notes Package,n/a
CHEM 211,Quantitative Chemical Analysis (with solution manual),Harris
CHEM 233,Organic Chem (Textbook) + Organic Chem (Study Guide and Solutions Manual),Paula Yurkanis Bruice
CHEM 233,Organic Chem (Solutions Manual/Study Guide),Paula Yurkanis Bruice
CHEM 233,Organic Chem (Textbook),Paula Yurkanis Bruice
CHEM 345/325/335/345,Labouratory Manual,n/a
CLST 105,Classical Mythology Images & Insights,Harris
CND,The Stone Angel,Laurence
CNPS 426,Developmental Guidance and Counseling: A Practical Approach,Myrick
CNRS,Homeric Hymns,Crudden
CNRS,Myth: A Very Short Introduction,Segal
CNRS,Appollodorus' Library and Hyginus' Fabulae,Smith
CNRS,Theories of Mythology,Csapo
COHR 308/309,Industrial Relations in Cnada,Hebdon
COMM,Microeconomic Policy Vol 1,Gateman
COMM,Marketing,Armstrong
COMM 100,Understanding Canadian Business,"Nickels, Mchugh, Mchugh, Cossa, and Sproule"
COMM 100,Understanding Canadian Business,Nickels
COMM 194,Managerial Accounting,"Garrison, Chesley, Carroll, Webb, Libby"
COMM 289,Upgrading to Microsoft Office 2007,Clemens
COMM 291,Business Statistics,"Sharpe, Veaux, Velleman, Wright"
COMM 291,Business Statistics,"Sharpe, Veaux, Velleman, Wright"
COMM 291,Business Statistics,Sharpe
COMM 291,Business Statistics,Sharpe
COMM 291,Business Statistics,Sharpe
COMM 291,Business Statistics,Sharpe
COMM 291,Business Statistics,Sharpe
COMM 293,Financial Accounting,Libby
COMM 293,Financial Accounting,Libby
COMM 293,Financial Accounting,Libby
COMM 294,Managerial Accounting,Garrison
COMM 294,Managerial Accounting,"Garrison, Chesley, Carroll, Webb, Libby"
COMM 294,Managerial Accounting,Garrison
COMM 294,Managerial Accounting,Garrison
COMM 294,Managerial Accounting,"Garrison, Noreen, Brewer, Chesley, Carroll"
COMM 295,Marketing : An introduction,Armstrong
COMM 295,Managerial Economics,n/a
COMM 296,Marketing An Introduction,"Armstrong, Kotler, Trifts, Buchwitz"
COMM 362,Consumer Behaviour,Solomon
COMM 362,Consumer Behaviour,"Solomon, Zaichkowsky, and Polegato"
COMM 374,Applied Financial Markets,Bena
COMM 390,English Mercury Reader,Sutherland
COMM 390,Business Writing,Neuleib
COMM 391,Business Driven information systems,Baltzan
COMM 392,Management of Human Resources,"Dessler, Munro, Cole"
COMM 457,Financial Accounting,Harrison
COMM 473,Fundamentals of Corporate Finance,Brealey
COMM 473/298,Fundamentals of Corporate Finance,Brealey
COMM 486,The New Rules of Green Marketing,Ottman
CPSC 260,Programming Princples and Practice Using C++,Stroustrup
CRWR 203,How to Write a Children's Picture Book,"Bine, Stock"
CRWR 217,Brave New Play Rites,Wade (ed.)
ECON 101,Microeconomics,Gateman
ECON 101,Micromanual,Gateman
ECON 101,Microeconomics (Gateman),"Ragan, and Lipsey"
ECON 101,Microeconomics (Gateman),n/a
ECON 101,Microeconomics,Gateman
ECON 101,MicroManual,Gateman
ECON 101,Principles of Microeconomics,Osberg
ECON 101,Principles of Microeconomics,Frank
ECON 101,Microeconomics. Canada in the Global Environment,"Parkin, and Bade"
ECON 102,Macroeconomics (Textbook) + Macroeconomics (Study Guide),"Ragan, and Lipsey"
ECON 102,Macroeconomics (Textbook) + Macromanual [Gateman],n/a
ECON 102,Macromanual,Gateman
ECON 102,Macroeconomics,Lipsey
ECON 102,Macroeconomics,"Ragan, Lipsey"
ECON 102,Macroeconomics,RAGAN LIPSEY
ECON 102,Principles of Macro-economics,"Mankiu, etc."
ECON 191,Microeconomics,Gateman
ECON 221,Strategies and Games Theory and Practice,Dutta
ECON 221,Strategies and Games,Dutta
ECON 234,The Rise of the Western World,"North, Thomas"
